>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     587      0.1747    8.57e-05
     588      0.1738   8.528e-05
     589       0.173   8.487e-05
     590      0.1722   8.447e-05
     591      0.1713   8.406e-05
     592      0.1705   8.365e-05
     593      0.1697   8.325e-05
     594      0.1689   8.285e-05
     595       0.168   8.245e-05
     596      0.1672   8.205e-05
     597      0.1664   8.166e-05
     598      0.1656   8.127e-05
     599      0.1648   8.087e-05
     600       0.164   8.049e-05
     601      0.1633    8.01e-05
     602      0.1625   7.971e-05
     603      0.1617   7.933e-05
     604      0.1609   7.895e-05
     605      0.1601   7.857e-05
     606      0.1594   7.819e-05
     607      0.1586   7.781e-05
     608      0.1578   7.744e-05
     609      0.1571   7.706e-05
     610      0.1563   7.669e-05
     611      0.1556   7.632e-05
     612      0.1548   7.596e-05
     613      0.1541   7.559e-05
     614      0.1533   7.523e-05
     615      0.1526   7.486e-05
     616      0.1518    7.45e-05
     617      0.1511   7.414e-05
     618      0.1504   7.379e-05
     619      0.1497   7.343e-05
     620      0.1489   7.308e-05
     621      0.1482   7.273e-05
     622      0.1475   7.238e-05
     623      0.1468   7.203e-05
     624      0.1461   7.168e-05
     625      0.1454   7.134e-05
     626      0.1447   7.099e-05
     627       0.144   7.065e-05
     628      0.1433   7.031e-05
     629      0.1426   6.997e-05
     630      0.1419   6.964e-05
     631      0.1412    6.93e-05
     632      0.1406   6.897e-05
     633      0.1399   6.863e-05
     634      0.1392    6.83e-05
     635      0.1385   6.797e-05
     636      0.1379   6.765e-05
     637      0.1372   6.732e-05
     638      0.1365     6.7e-05
     639      0.1359   6.667e-05
     640      0.1352   6.635e-05
     641      0.1346   6.603e-05
     642      0.1339   6.572e-05
     643      0.1333    6.54e-05
     644      0.1327   6.508e-05
     645       0.132   6.477e-05
     646      0.1314   6.446e-05
     647      0.1307   6.415e-05
     648      0.1301   6.384e-05
     649      0.1295   6.353e-05
     650      0.1289   6.323e-05
     651      0.1282   6.292e-05
     652      0.1276   6.262e-05
     653       0.127   6.232e-05
     654      0.1264   6.202e-05
     655      0.1258   6.172e-05
     656      0.1252   6.142e-05
     657      0.1246   6.113e-05
     658       0.124   6.083e-05
     659      0.1234   6.054e-05
     660      0.1228   6.025e-05
     661      0.1222   5.996e-05
     662      0.1216   5.967e-05
     663       0.121   5.938e-05
     664      0.1204    5.91e-05
     665      0.1199   5.881e-05
     666      0.1193   5.853e-05
     667      0.1187   5.825e-05
     668      0.1181   5.797e-05
     669      0.1176   5.769e-05
     670       0.117   5.741e-05
     671      0.1164   5.713e-05
     672      0.1159   5.686e-05
     673      0.1153   5.658e-05
     674      0.1148   5.631e-05
     675      0.1142   5.604e-05
     676      0.1137   5.577e-05
     677      0.1131    5.55e-05
     678      0.1126   5.523e-05
     679       0.112   5.497e-05
     680      0.1115    5.47e-05
     681       0.111   5.444e-05
     682      0.1104   5.418e-05
     683      0.1099   5.392e-05
     684      0.1094   5.366e-05
     685      0.1088    5.34e-05
     686      0.1083   5.314e-05
     687      0.1078   5.289e-05
     688      0.1073   5.263e-05
     689      0.1068   5.238e-05
     690      0.1062   5.213e-05
     691      0.1057   5.187e-05
     692      0.1052   5.162e-05
     693      0.1047   5.138e-05
     694      0.1042   5.113e-05
     695      0.1037   5.088e-05
     696      0.1032   5.064e-05
     697      0.1027   5.039e-05
     698      0.1022   5.015e-05
     699      0.1017   4.991e-05
     700      0.1012   4.967e-05
     701      0.1007   4.943e-05
     702      0.1003   4.919e-05
     703     0.09978   4.896e-05
     704      0.0993   4.872e-05
     705     0.09882   4.848e-05
     706     0.09834   4.825e-05
     707     0.09787   4.802e-05
     708      0.0974   4.779e-05
     709     0.09693   4.756e-05
     710     0.09646   4.733e-05
     711       0.096    4.71e-05
     712     0.09554   4.687e-05
     713     0.09508   4.665e-05
     714     0.09462   4.642e-05
     715     0.09416    4.62e-05
     716     0.09371   4.598e-05
     717     0.09326   4.576e-05
     718     0.09281   4.554e-05
     719     0.09236   4.532e-05
     720     0.09192    4.51e-05
     721     0.09147   4.488e-05
     722     0.09103   4.467e-05
     723      0.0906   4.445e-05
     724     0.09016   4.424e-05
     725     0.08973   4.402e-05
     726     0.08929   4.381e-05
     727     0.08886    4.36e-05
     728     0.08844   4.339e-05
     729     0.08801   4.318e-05
     730     0.08759   4.297e-05
     731     0.08716   4.277e-05
     732     0.08674   4.256e-05
     733     0.08633   4.236e-05
     734     0.08591   4.215e-05
     735      0.0855   4.195e-05
     736     0.08509   4.175e-05
     737     0.08468   4.155e-05
