>> gauss_seidel_poisson_1d
22-Nov-2011 13:09:15

GAUSS_SEIDEL_POISSON_1D:
  Use Gauss-Seidel iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     890   0.0005693   5.562e-07
     891   0.0005639   5.508e-07
     892   0.0005584   5.455e-07
     893   0.0005531   5.403e-07
     894   0.0005478   5.351e-07
     895   0.0005425     5.3e-07
     896   0.0005373   5.249e-07
     897   0.0005321   5.198e-07
     898    0.000527   5.148e-07
     899    0.000522   5.099e-07
     900   0.0005169    5.05e-07
     901    0.000512   5.001e-07
     902   0.0005071   4.953e-07
     903   0.0005022   4.906e-07
     904   0.0004974   4.859e-07
     905   0.0004926   4.812e-07
     906   0.0004878   4.766e-07
     907   0.0004832    4.72e-07
     908   0.0004785   4.675e-07
     909   0.0004739    4.63e-07
     910   0.0004694   4.585e-07
     911   0.0004649   4.541e-07
     912   0.0004604   4.498e-07
     913    0.000456   4.454e-07
     914   0.0004516   4.412e-07
     915   0.0004473   4.369e-07
     916    0.000443   4.327e-07
     917   0.0004387   4.286e-07
     918   0.0004345   4.244e-07
     919   0.0004303   4.204e-07
     920   0.0004262   4.163e-07
     921   0.0004221   4.123e-07
     922    0.000418   4.084e-07
     923    0.000414   4.044e-07
     924     0.00041   4.006e-07
     925   0.0004061   3.967e-07
     926   0.0004022   3.929e-07
     927   0.0003983   3.891e-07
     928   0.0003945   3.854e-07
